province,city,todayConfirm,nowConfirm,confirm,suspect,dead,heal,deadRate,healRate
上海,黄浦,0,0,6,0,1,5,16.67,83.33
上海,浦东,0,0,61,0,0,61,0.00,100.00
上海,外地来沪,0,0,111,0,1,110,0.90,99.10
上海,崇明,0,0,4,0,0,4,0.00,100.00
上海,金山,0,0,4,0,0,4,0.00,100.00
上海,虹口,0,0,7,0,0,7,0.00,100.00
上海,奉贤,0,0,9,0,0,9,0.00,100.00
上海,杨浦,0,0,9,0,0,9,0.00,100.00
上海,普陀,0,0,11,0,0,11,0.00,100.00
上海,长宁,0,0,13,0,0,13,0.00,100.00
上海,松江,0,0,14,0,0,14,0.00,100.00
上海,闵行,0,0,19,0,0,19,0.00,100.00
北京,朝阳,0,75,75,0,0,0,0.00,0.00
北京,海淀,0,64,64,0,0,0,0.00,0.00
北京,西城,0,53,53,0,0,0,0.00,0.00
北京,丰台,0,43,43,0,0,0,0.00,0.00
北京,大兴,0,39,39,0,0,0,0.00,0.00
北京,昌平,0,29,29,0,0,0,0.00,0.00
北京,外地来京,0,25,25,0,0,0,0.00,0.00
北京,通州,0,19,19,0,0,0,0.00,0.00
北京,房山,0,16,16,0,0,0,0.00,0.00
北京,石景山,0,14,14,0,0,0,0.00,0.00
北京,东城,0,14,14,0,0,0,0.00,0.00
北京,顺义,0,10,10,0,0,0,0.00,0.00
北京,境外输入,0,7,174,0,0,167,0.00,95.98
北京,密云,0,7,7,0,0,0,0.00,0.00
北京,怀柔,0,7,7,0,0,0,0.00,0.00
北京,门头沟,0,3,3,0,0,0,0.00,0.00
北京,延庆,0,1,1,0,0,0,0.00,0.00
北京,地区待确认,0,-416,0,0,9,407,0.00,0.00
湖北,武汉,0,6,50339,0,3869,46464,7.69,92.30
湖北,随州,0,0,1307,0,45,1262,3.44,96.56
湖北,咸宁,0,0,836,0,15,821,1.79,98.21
湖北,黄冈,0,0,2907,0,125,2782,4.30,95.70
湖北,孝感,0,0,3518,0,129,3389,3.67,96.33
湖北,神农架,0,0,11,0,0,11,0.00,100.00
湖北,潜江,0,0,198,0,9,189,4.55,95.45
湖北,鄂州,0,0,1394,0,59,1335,4.23,95.77
湖北,襄阳,0,0,1175,0,40,1135,3.40,96.60
湖北,天门,0,0,496,0,15,481,3.02,96.98
湖北,仙桃,0,0,575,0,22,553,3.83,96.17
湖北,荆门,0,0,928,0,41,887,4.42,95.58
湖北,十堰,0,0,672,0,8,664,1.19,98.81
湖北,宜昌,0,0,931,0,37,894,3.97,96.03
湖北,黄石,0,0,1015,0,39,976,3.84,96.16
湖北,荆州,0,0,1580,0,52,1528,3.29,96.71
湖北,恩施州,0,0,252,0,7,245,2.78,97.22
陕西,境外输入,0,5,63,0,0,58,0.00,92.06
陕西,韩城,0,0,1,0,0,1,0.00,100.00
陕西,渭南,0,0,15,0,0,15,0.00,100.00
陕西,咸阳,0,0,17,0,0,17,0.00,100.00
陕西,西安,0,0,120,0,3,117,2.50,97.50
陕西,汉中,0,0,26,0,0,26,0.00,100.00
陕西,杨凌,0,0,1,0,0,1,0.00,100.00
陕西,地区待确认,0,0,0,0,0,0,0.00,0.00
陕西,榆林,0,0,3,0,0,3,0.00,100.00
陕西,商洛,0,0,7,0,0,7,0.00,100.00
陕西,铜川,0,0,8,0,0,8,0.00,100.00
陕西,延安,0,0,8,0,0,8,0.00,100.00
陕西,宝鸡,0,0,13,0,0,13,0.00,100.00
陕西,安康,0,0,26,0,0,26,0.00,100.00
山东,青岛,0,2,65,0,1,62,1.54,95.38
山东,境外输入,0,1,25,0,0,24,0.00,96.00
山东,泰安,0,0,35,0,2,33,5.71,94.29
山东,济南,0,0,47,0,0,47,0.00,100.00
山东,潍坊,0,0,44,0,0,44,0.00,100.00
山东,烟台,0,0,47,0,0,47,0.00,100.00
山东,淄博,0,0,30,0,1,29,3.33,96.67
山东,枣庄,0,0,24,0,0,24,0.00,100.00
山东,济宁,0,0,260,0,0,260,0.00,100.00
山东,威海,0,0,38,0,1,37,2.63,97.37
山东,日照,0,0,16,0,0,16,0.00,100.00
山东,临沂,0,0,49,0,0,49,0.00,100.00
山东,德州,0,0,37,0,2,35,5.41,94.59
山东,聊城,0,0,38,0,0,38,0.00,100.00
山东,滨州,0,0,15,0,0,15,0.00,100.00
山东,菏泽,0,0,18,0,0,18,0.00,100.00
辽宁,沈阳,0,3,31,0,0,28,0.00,90.32
辽宁,铁岭,0,0,7,0,0,7,0.00,100.00
辽宁,大连,0,0,18,0,0,18,0.00,100.00
辽宁,境外输入,0,0,21,0,0,21,0.00,100.00
辽宁,朝阳市,0,0,6,0,1,5,16.67,83.33
辽宁,丹东,0,0,11,0,0,11,0.00,100.00
辽宁,葫芦岛,0,0,12,0,1,11,8.33,91.67
辽宁,抚顺,0,0,1,0,0,1,0.00,100.00
辽宁,鞍山,0,0,4,0,0,4,0.00,100.00
辽宁,锦州,0,0,12,0,0,12,0.00,100.00
辽宁,盘锦,0,0,11,0,0,11,0.00,100.00
辽宁,阜新,0,0,8,0,0,8,0.00,100.00
辽宁,本溪,0,0,3,0,0,3,0.00,100.00
辽宁,辽阳,0,0,3,0,0,3,0.00,100.00
辽宁,营口,0,0,1,0,0,1,0.00,100.00
黑龙江,哈尔滨,0,2,264,0,4,258,1.52,97.73
黑龙江,黑河,0,0,14,0,0,14,0.00,100.00
黑龙江,牡丹江,0,0,25,0,0,25,0.00,100.00
黑龙江,大庆,0,0,27,0,1,26,3.70,96.30
黑龙江,地区待确定,0,0,0,0,0,0,0.00,0.00
黑龙江,齐齐哈尔,0,0,43,0,1,42,2.33,97.67
黑龙江,大兴安岭,0,0,3,0,0,3,0.00,100.00
黑龙江,境外输入,0,0,386,0,0,386,0.00,100.00
黑龙江,双鸭山,0,0,52,0,3,49,5.77,94.23
黑龙江,绥化,0,0,47,0,4,43,8.51,91.49
黑龙江,鹤岗,0,0,5,0,0,5,0.00,100.00
黑龙江,七台河,0,0,17,0,0,17,0.00,100.00
黑龙江,鸡西,0,0,46,0,0,46,0.00,100.00
黑龙江,伊春,0,0,1,0,0,1,0.00,100.00
黑龙江,佳木斯,0,0,15,0,0,15,0.00,100.00
澳门,地区待确认,0,2,45,0,0,43,0.00,95.56
广东,深圳,0,1,423,0,3,419,0.71,99.05
广东,广州,0,1,377,0,1,375,0.27,99.47
广东,佛山,0,0,89,0,0,89,0.00,100.00
广东,汕尾,0,0,5,0,0,5,0.00,100.00
广东,清远,0,0,12,0,0,12,0.00,100.00
广东,潮州,0,0,5,0,0,5,0.00,100.00
广东,湛江,0,0,22,0,0,22,0.00,100.00
广东,珠海,0,0,98,0,1,97,1.02,98.98
广东,汕头,0,0,25,0,0,25,0.00,100.00
广东,揭阳,0,0,10,0,0,10,0.00,100.00
广东,江门,0,0,23,0,0,23,0.00,100.00
广东,境外输入,0,0,194,0,0,194,0.00,100.00
广东,中山,0,0,67,0,0,67,0.00,100.00
广东,梅州,0,0,16,0,0,16,0.00,100.00
广东,河源,0,0,5,0,0,5,0.00,100.00
广东,肇庆,0,0,19,0,1,18,5.26,94.74
广东,东莞,0,0,99,0,1,98,1.01,98.99
广东,阳江,0,0,14,0,0,14,0.00,100.00
广东,惠州,0,0,62,0,0,62,0.00,100.00
广东,茂名,0,0,14,0,0,14,0.00,100.00
广东,地区待确认,0,0,0,0,0,0,0.00,0.00
广东,韶关,0,0,10,0,1,9,10.00,90.00
天津,境外输入,0,1,55,0,0,54,0.00,98.18
天津,和平区,0,0,6,0,0,6,0.00,100.00
天津,河北区,0,0,12,0,0,12,0.00,100.00
天津,津南区,0,0,2,0,0,2,0.00,100.00
天津,北辰区,0,0,6,0,0,6,0.00,100.00
天津,南开区,0,0,6,0,0,6,0.00,100.00
天津,河东区,0,0,15,0,1,14,6.67,93.33
天津,宁河区,0,0,4,0,0,4,0.00,100.00
天津,宝坻区,0,0,60,0,2,58,3.33,96.67
天津,外地来津,0,0,6,0,0,6,0.00,100.00
天津,滨海新区,0,0,3,0,0,3,0.00,100.00
天津,武清区,0,0,2,0,0,2,0.00,100.00
天津,东丽区,0,0,4,0,0,4,0.00,100.00
天津,河西区,0,0,4,0,0,4,0.00,100.00
天津,西青区,0,0,4,0,0,4,0.00,100.00
天津,红桥区,0,0,2,0,0,2,0.00,100.00
河北,境外输入,0,1,10,0,0,9,0.00,90.00
河北,唐山,0,0,58,0,1,57,1.72,98.28
河北,张家口,0,0,41,0,0,41,0.00,100.00
河北,邯郸,0,0,32,0,0,32,0.00,100.00
河北,石家庄,0,0,29,0,0,29,0.00,100.00
河北,承德,0,0,7,0,0,7,0.00,100.00
河北,衡水,0,0,8,0,0,8,0.00,100.00
河北,秦皇岛,0,0,10,0,1,9,10.00,90.00
河北,廊坊,0,0,30,0,0,30,0.00,100.00
河北,保定,0,0,32,0,0,32,0.00,100.00
河北,邢台,0,0,23,0,1,22,4.35,95.65
河北,沧州,0,0,48,0,3,45,6.25,93.75
重庆,境外输入,0,0,3,0,0,3,0.00,100.00
重庆,綦江区,0,0,23,0,0,23,0.00,100.00
重庆,大足区,0,0,14,0,0,14,0.00,100.00
重庆,长寿区,0,0,22,0,0,22,0.00,100.00
重庆,荣昌区,0,0,9,0,0,9,0.00,100.00
重庆,江北区,0,0,28,0,0,28,0.00,100.00
重庆,沙坪坝区,0,0,9,0,0,9,0.00,100.00
重庆,丰都县,0,0,10,0,0,10,0.00,100.00
重庆,潼南区,0,0,18,0,0,18,0.00,100.00
重庆,铜梁区,0,0,10,0,0,10,0.00,100.00
重庆,南岸区,0,0,15,0,0,15,0.00,100.00
重庆,九龙坡区,0,0,21,0,1,20,4.76,95.24
重庆,万州区,0,0,118,0,4,114,3.39,96.61
重庆,两江新区,0,0,17,0,0,17,0.00,100.00
重庆,巴南区,0,0,6,0,0,6,0.00,100.00
重庆,渝中区,0,0,20,0,0,20,0.00,100.00
重庆,垫江县,0,0,20,0,0,20,0.00,100.00
重庆,云阳县,0,0,25,0,0,25,0.00,100.00
重庆,奉节县,0,0,22,0,0,22,0.00,100.00
重庆,石柱县,0,0,15,0,0,15,0.00,100.00
重庆,涪陵区,0,0,5,0,0,5,0.00,100.00
重庆,渝北区,0,0,17,0,0,17,0.00,100.00
重庆,彭水县,0,0,2,0,0,2,0.00,100.00
重庆,忠县,0,0,21,0,0,21,0.00,100.00
重庆,开州区,0,0,21,0,1,20,4.76,95.24
重庆,合川区,0,0,23,0,0,23,0.00,100.00
重庆,大渡口区,0,0,7,0,0,7,0.00,100.00
重庆,巫溪县,0,0,14,0,0,14,0.00,100.00
重庆,巫山县,0,0,10,0,0,10,0.00,100.00
重庆,万盛经开区,0,0,1,0,0,1,0.00,100.00
重庆,酉阳县,0,0,1,0,0,1,0.00,100.00
重庆,璧山区,0,0,9,0,0,9,0.00,100.00
重庆,高新区,0,0,4,0,0,4,0.00,100.00
重庆,永川区,0,0,5,0,0,5,0.00,100.00
重庆,江津区,0,0,4,0,0,4,0.00,100.00
重庆,武隆区,0,0,1,0,0,1,0.00,100.00
重庆,梁平区,0,0,4,0,0,4,0.00,100.00
重庆,城口县,0,0,2,0,0,2,0.00,100.00
重庆,黔江区,0,0,2,0,0,2,0.00,100.00
重庆,秀山县,0,0,1,0,0,1,0.00,100.00
云南,境外输入,0,0,11,0,0,11,0.00,100.00
云南,曲靖,0,0,13,0,0,13,0.00,100.00
云南,德宏州,0,0,5,0,0,5,0.00,100.00
云南,昆明,0,0,53,0,0,53,0.00,100.00
云南,保山市,0,0,9,0,0,9,0.00,100.00
云南,玉溪,0,0,14,0,1,13,7.14,92.86
云南,红河,0,0,9,0,0,9,0.00,100.00
云南,昭通市,0,0,25,0,0,25,0.00,100.00
云南,大理,0,0,13,0,0,13,0.00,100.00
云南,西双版纳州,0,0,15,0,1,14,6.67,93.33
云南,文山州,0,0,2,0,0,2,0.00,100.00
云南,普洱,0,0,4,0,0,4,0.00,100.00
云南,楚雄州,0,0,4,0,0,4,0.00,100.00
云南,丽江市,0,0,7,0,0,7,0.00,100.00
云南,临沧,0,0,1,0,0,1,0.00,100.00
四川,成都,0,0,145,0,3,142,2.07,97.93
四川,境外输入,0,0,21,0,0,21,0.00,100.00
四川,乐山,0,0,3,0,0,3,0.00,100.00
四川,自贡,0,0,9,0,0,9,0.00,100.00
四川,攀枝花,0,0,16,0,0,16,0.00,100.00
四川,泸州,0,0,24,0,0,24,0.00,100.00
四川,德阳,0,0,18,0,0,18,0.00,100.00
四川,绵阳,0,0,22,0,0,22,0.00,100.00
四川,广元,0,0,6,0,0,6,0.00,100.00
四川,遂宁,0,0,17,0,0,17,0.00,100.00
四川,内江,0,0,22,0,0,22,0.00,100.00
四川,凉山,0,0,13,0,0,13,0.00,100.00
四川,甘孜,0,0,78,0,0,78,0.00,100.00
四川,阿坝,0,0,1,0,0,1,0.00,100.00
四川,资阳,0,0,4,0,0,4,0.00,100.00
四川,眉山,0,0,8,0,0,8,0.00,100.00
四川,雅安,0,0,7,0,0,7,0.00,100.00
四川,巴中,0,0,24,0,0,24,0.00,100.00
四川,达州,0,0,42,0,0,42,0.00,100.00
四川,广安,0,0,30,0,0,30,0.00,100.00
四川,宜宾,0,0,12,0,0,12,0.00,100.00
四川,南充,0,0,39,0,0,39,0.00,100.00
山西,境外输入,0,0,64,0,0,64,0.00,100.00
山西,太原,0,0,21,0,0,21,0.00,100.00
山西,晋中,0,0,37,0,0,37,0.00,100.00
山西,大同,0,0,12,0,0,12,0.00,100.00
山西,运城,0,0,19,0,0,19,0.00,100.00
山西,忻州,0,0,7,0,0,7,0.00,100.00
山西,晋城,0,0,10,0,0,10,0.00,100.00
山西,长治,0,0,8,0,0,8,0.00,100.00
